BehaviorSpace results (NetLogo 6.2.0),,,,,,,,,,,,
crested_newt.nlogo,,,,,,,,,,,,
experiment,,,,,,,,,,,,
09/23/2021 21:47:03:176 +0200,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,
0,399,0,399,,,,,,,,,
[run number],capacity,mean-juvenile-mortality-prob,mortality-decrease-with-buffer,number-of-startind,movement-energy,cropland-movement-cost,woodland-movement-cost,mean-number-of-female-offspring,scenario,mean-adult-mortality-prob,[step],count turtles
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,19,33
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,13,22
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,12,44
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,20,37
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,14,28
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,13,54
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,20,31
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,15,40
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,22,39
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,15,34
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,13,51
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,21,33
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,21,35
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,23,33
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,16,48
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,18,46
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,14,55
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,24,34
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,16,28
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,14,50
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,22,31
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,22,41
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,17,25
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,25,46
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,19,41
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,18,24
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,17,52
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,23,40
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,19,34
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,23,35
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,15,50
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,20,49
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,26,47
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,24,44
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,15,49
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,18,45
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,24,36
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,16,44
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,25,37
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,20,29
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,21,56
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,25,46
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,27,50
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,19,43
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,26,31
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,21,35
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,17,44
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,16,46
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,22,37
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,20,54
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,27,39
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,26,44
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,23,54
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,22,48
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,28,48
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,18,37
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,17,36
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,28,46
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,19,42
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,23,47
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,27,33
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,24,59
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,21,51
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,29,46
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,18,40
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,24,54
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,28,42
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,20,43
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,29,42
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,19,38
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,30,46
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,21,45
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,29,35
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,22,45
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,25,50
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,30,46
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,25,59
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,20,41
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,30,37
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,31,56
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,22,43
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,21,45
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,23,38
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,23,44
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,31,42
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,31,31
4,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,24,63
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,26,44
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,24,42
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,26,50
5,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,22,42
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,32,50
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,32,32
7,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,32,42
2,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,27,65
6,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,25,40
8,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,33,53
3,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,27,40
1,30,0.45,0.1,15,500,5,1,2.5,buffers,0.18,33,23
