"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"experiment"
"09/23/2021 21:30:09:800 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"85","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","254","7","49","49","36","23","32","31","34"
"87","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","269","7","52","33","34","33","52","28","37"
"88","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","301","7","55","50","28","34","47","49","38"
"91","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","268","7","42","51","38","34","26","38","39"
"89","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","281","7","44","37","46","29","43","42","40"
"90","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","331","7","50","32","34","53","57","56","49"
"92","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","279","7","41","48","56","28","30","40","36"
"93","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","281","7","30","48","42","37","39","43","42"
"94","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","255","7","32","46","37","31","34","35","40"
"95","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","278","7","40","33","32","40","38","42","53"
"103","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","288","7","37","47","39","39","60","36","30"
"98","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","313","7","30","42","52","55","46","40","48"
"97","90","0.45","0.1","50","500","5","1","2.5","buffers","0.18","100","253","7","28","39","31","34","42","41","38"
"101","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","193","7","11","37","31","17","25","35","37"
"104","90","0.45","0.1","50","500","5","1","2.5","corridors","0.18","100","223","6","33","50","31","0","22","43","44"
