"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"experiment"
"10/25/2021 17:59:42:969 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","number-of-startind","movement-in-forest","max-timesteps","current-scenario","cropland-movement-cost","angle-for-viewing-ponds-and-woodland","woodland-movement-cost","mortality-decrease-with-buffer","distance-for-viewing-ponds-and-woodland","movement-energy","one-pond-without-starting-newts","both-scenarios","mean-number-of-female-offspring","mean-adult-mortality-prob","[step]","newts-buffer","newts-corridor","newts-corridor-pond1","newts-buffer-pond1","occupied-ponds-corridor","occupied-ponds-buffer"
"85","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","37","45","4","9","7","6"
"92","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","54","15","0","13","3","5"
"87","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","56","63","3","0","7","6"
"91","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","50","32","0","9","5","6"
"94","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","58","33","5","6","6","6"
"88","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","55","53","5","0","7","6"
"90","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","71","18","0","11","2","7"
"96","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","52","25","5","10","5","5"
"95","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","58","44","14","13","7","6"
"93","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","39","53","13","4","5","6"
"97","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","65","29","8","11","4","7"
"99","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","48","30","8","0","4","5"
"98","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","43","54","7","9","6","5"
"100","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","1","700","false","true","5","0.2","99","62","56","0","0","6","5"
"103","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","68","63","13","6","6","6"
"104","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","54","43","8","10","6","7"
"101","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","45","51","9","0","7","5"
"102","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","66","72","13","15","7","7"
"105","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","75","48","5","10","7","7"
"106","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","48","65","8","8","7","5"
"108","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","72","51","10","13","6","6"
"107","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","55","75","6","11","7","7"
"109","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","69","72","13","8","7","7"
"110","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","73","53","9","9","6","7"
"111","20","0.5","15","mean forest patches","50","corridors","5","140","1","0.075","2","700","false","true","5","0.2","99","53","56","6","12","7","6"
