,mortality_decrease,movement_energy,corridor_netws,corridor_year,buffer_netws,buffer_year
43,0.15,466.66666666666663,48.0,3.0,65.0,6.0
44,0.15,555.5555555555555,46.0,2.0,63.0,13.0
45,0.15,644.4444444444445,50.0,2.0,47.0,6.0
46,0.15,733.3333333333333,44.0,3.0,69.0,3.0
47,0.15,822.2222222222222,67.0,2.0,55.0,2.0
48,0.15,911.1111111111111,38.0,3.0,54.0,4.0
49,0.15,1000.0,45.0,10.0,62.0,9.0
50,0.01,200.0,60.0,2.0,0.0,-999.0
51,0.01,288.8888888888889,38.0,5.0,20.0,-999.0
52,0.01,377.77777777777777,35.0,3.0,0.0,-999.0
53,0.01,466.66666666666663,50.0,4.0,59.0,11.0
54,0.01,555.5555555555555,45.0,2.0,34.0,7.0
55,0.01,644.4444444444445,54.0,1.0,45.0,7.0
56,0.01,733.3333333333333,43.0,2.0,55.0,3.0
57,0.01,822.2222222222222,52.0,2.0,30.0,3.0
58,0.01,911.1111111111111,40.0,2.0,45.0,5.0
59,0.01,1000.0,51.0,4.0,46.0,20.0
60,0.025555555555555554,200.0,24.0,6.0,7.0,-999.0
61,0.025555555555555554,288.8888888888889,52.0,4.0,40.0,24.0
62,0.025555555555555554,377.77777777777777,50.0,3.0,0.0,-999.0
63,0.025555555555555554,466.66666666666663,61.0,2.0,50.0,11.0
64,0.025555555555555554,555.5555555555555,44.0,6.0,63.0,12.0
65,0.025555555555555554,644.4444444444445,52.0,2.0,57.0,8.0
66,0.025555555555555554,733.3333333333333,46.0,2.0,49.0,18.0
67,0.025555555555555554,822.2222222222222,30.0,-999.0,46.0,-999.0
68,0.025555555555555554,911.1111111111111,32.0,2.0,47.0,23.0
69,0.025555555555555554,1000.0,53.0,3.0,45.0,5.0
70,0.041111111111111105,200.0,24.0,4.0,0.0,-999.0
71,0.041111111111111105,288.8888888888889,55.0,2.0,0.0,-999.0
72,0.041111111111111105,377.77777777777777,32.0,9.0,17.0,162.0
73,0.041111111111111105,466.66666666666663,30.0,-999.0,51.0,-999.0
74,0.041111111111111105,555.5555555555555,38.0,12.0,40.0,4.0
75,0.041111111111111105,644.4444444444445,49.0,2.0,63.0,7.0
76,0.041111111111111105,733.3333333333333,30.0,3.0,50.0,2.0
77,0.041111111111111105,822.2222222222222,52.0,2.0,32.0,3.0
78,0.041111111111111105,911.1111111111111,38.0,2.0,45.0,12.0
79,0.041111111111111105,1000.0,48.0,2.0,54.0,3.0
80,0.056666666666666664,200.0,39.0,2.0,30.0,11.0
81,0.056666666666666664,288.8888888888889,72.0,1.0,64.0,2.0
82,0.056666666666666664,377.77777777777777,40.0,2.0,14.0,-999.0
83,0.056666666666666664,466.66666666666663,54.0,1.0,40.0,-999.0
84,0.056666666666666664,555.5555555555555,42.0,4.0,9.0,-999.0
85,0.056666666666666664,644.4444444444445,59.0,2.0,49.0,10.0
86,0.056666666666666664,733.3333333333333,39.0,16.0,58.0,2.0
87,0.056666666666666664,822.2222222222222,56.0,1.0,53.0,2.0
88,0.056666666666666664,911.1111111111111,62.0,4.0,55.0,10.0
89,0.056666666666666664,1000.0,60.0,2.0,55.0,7.0
90,0.07222222222222222,200.0,28.0,3.0,5.0,-999.0
91,0.07222222222222222,288.8888888888889,60.0,2.0,18.0,-999.0
92,0.07222222222222222,377.77777777777777,46.0,3.0,29.0,-999.0
93,0.07222222222222222,466.66666666666663,65.0,2.0,37.0,114.0
94,0.07222222222222222,555.5555555555555,56.0,5.0,60.0,6.0
95,0.07222222222222222,644.4444444444445,61.0,4.0,62.0,4.0
96,0.07222222222222222,733.3333333333333,38.0,1.0,54.0,4.0
97,0.07222222222222222,822.2222222222222,52.0,2.0,54.0,2.0
98,0.07222222222222222,911.1111111111111,35.0,2.0,57.0,5.0
99,0.07222222222222222,1000.0,43.0,3.0,70.0,2.0
100,0.08777777777777776,200.0,45.0,3.0,12.0,-999.0
101,0.08777777777777776,288.8888888888889,57.0,2.0,7.0,-999.0
102,0.08777777777777776,377.77777777777777,62.0,2.0,13.0,-999.0
103,0.08777777777777776,466.66666666666663,59.0,2.0,39.0,4.0
104,0.08777777777777776,555.5555555555555,49.0,2.0,37.0,26.0
105,0.08777777777777776,644.4444444444445,39.0,7.0,48.0,37.0
106,0.08777777777777776,733.3333333333333,70.0,2.0,60.0,2.0
107,0.08777777777777776,822.2222222222222,50.0,2.0,52.0,3.0
108,0.08777777777777776,911.1111111111111,58.0,5.0,52.0,16.0
109,0.08777777777777776,1000.0,49.0,2.0,53.0,3.0
110,0.10333333333333332,200.0,63.0,10.0,10.0,-999.0
111,0.10333333333333332,288.8888888888889,30.0,-999.0,33.0,-999.0
112,0.10333333333333332,377.77777777777777,59.0,2.0,28.0,-999.0
113,0.10333333333333332,466.66666666666663,52.0,2.0,64.0,9.0
114,0.10333333333333332,555.5555555555555,38.0,2.0,47.0,32.0
115,0.10333333333333332,644.4444444444445,52.0,12.0,69.0,2.0
116,0.10333333333333332,733.3333333333333,62.0,2.0,62.0,11.0
117,0.10333333333333332,822.2222222222222,53.0,3.0,69.0,2.0
118,0.10333333333333332,911.1111111111111,43.0,3.0,48.0,17.0
119,0.10333333333333332,1000.0,56.0,3.0,56.0,6.0
120,0.11888888888888886,200.0,30.0,-999.0,13.0,-999.0
121,0.11888888888888886,288.8888888888889,49.0,5.0,12.0,-999.0
122,0.11888888888888886,377.77777777777777,57.0,2.0,58.0,5.0
123,0.11888888888888886,466.66666666666663,30.0,-999.0,60.0,56.0
124,0.11888888888888886,555.5555555555555,60.0,2.0,54.0,14.0
125,0.11888888888888886,644.4444444444445,62.0,2.0,68.0,2.0
126,0.11888888888888886,733.3333333333333,61.0,2.0,54.0,2.0
127,0.11888888888888886,822.2222222222222,57.0,2.0,48.0,3.0
128,0.11888888888888886,911.1111111111111,43.0,2.0,59.0,3.0
129,0.11888888888888886,1000.0,59.0,132.0,54.0,17.0
130,0.13444444444444442,200.0,61.0,2.0,0.0,-999.0
131,0.13444444444444442,288.8888888888889,58.0,2.0,60.0,-999.0
