,newts_buffer,newts_corridor,ponds_buffer,ponds_corridor
13,12.0,7.0,2.0,2.0
14,67.0,79.0,6.0,7.0
15,43.0,35.0,4.0,6.0
16,1.0,17.0,1.0,6.0
17,12.0,23.0,2.0,5.0
18,0.0,4.0,0.0,2.0
19,10.0,0.0,2.0,0.0
20,5.0,0.0,2.0,0.0
21,13.0,17.0,3.0,2.0
22,20.0,11.0,4.0,3.0
23,10.0,11.0,1.0,3.0
24,0.0,0.0,0.0,0.0
25,2.0,0.0,1.0,0.0
26,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0
33,4.0,0.0,1.0,0.0
34,0.0,0.0,0.0,0.0
35,5.0,0.0,1.0,0.0
36,4.0,0.0,1.0,0.0
37,0.0,0.0,0.0,0.0
38,16.0,0.0,2.0,0.0
39,3.0,0.0,1.0,0.0
40,6.0,0.0,1.0,0.0
41,7.0,0.0,1.0,0.0
42,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0
44,2.0,0.0,1.0,0.0
45,0.0,2.0,0.0,1.0
46,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0
48,80.0,81.0,7.0,7.0
49,87.0,104.0,7.0,7.0
50,11.0,41.0,2.0,7.0
51,72.0,86.0,7.0,7.0
52,84.0,95.0,7.0,7.0
53,75.0,78.0,7.0,7.0
54,95.0,84.0,7.0,7.0
55,82.0,87.0,7.0,7.0
56,91.0,83.0,7.0,6.0
57,65.0,99.0,7.0,7.0
58,86.0,71.0,7.0,6.0
59,72.0,88.0,7.0,7.0
60,0.0,23.0,0.0,6.0
61,63.0,83.0,6.0,7.0
62,12.0,29.0,2.0,5.0
63,4.0,34.0,1.0,6.0
64,13.0,41.0,3.0,7.0
65,15.0,18.0,4.0,4.0
66,0.0,3.0,0.0,1.0
67,13.0,21.0,5.0,5.0
68,26.0,26.0,5.0,5.0
69,11.0,22.0,3.0,5.0
70,14.0,0.0,3.0,0.0
71,0.0,32.0,0.0,6.0
72,19.0,20.0,3.0,5.0
73,22.0,55.0,5.0,7.0
74,80.0,79.0,7.0,6.0
75,26.0,20.0,5.0,6.0
76,29.0,29.0,3.0,6.0
77,22.0,44.0,3.0,7.0
78,16.0,39.0,2.0,6.0
79,25.0,45.0,4.0,6.0
80,31.0,35.0,4.0,6.0
81,22.0,0.0,3.0,0.0
82,16.0,8.0,2.0,1.0
83,8.0,29.0,2.0,5.0
84,52.0,4.0,5.0,2.0
85,4.0,16.0,2.0,2.0
86,72.0,38.0,6.0,3.0
87,6.0,0.0,1.0,0.0
88,57.0,19.0,4.0,2.0
89,27.0,5.0,4.0,1.0
90,54.0,30.0,5.0,5.0
91,51.0,36.0,5.0,3.0
92,56.0,91.0,5.0,7.0
93,40.0,33.0,6.0,4.0
94,53.0,8.0,6.0,2.0
95,45.0,5.0,5.0,1.0
96,127.0,109.0,7.0,7.0
97,142.0,123.0,7.0,7.0
98,76.0,71.0,7.0,7.0
99,131.0,104.0,7.0,7.0
100,133.0,128.0,7.0,7.0
101,146.0,145.0,7.0,7.0
102,173.0,134.0,7.0,7.0
103,134.0,134.0,7.0,7.0
104,135.0,121.0,6.0,6.0
105,145.0,139.0,7.0,7.0
106,140.0,121.0,7.0,7.0
107,160.0,111.0,7.0,7.0
108,69.0,50.0,7.0,5.0
109,144.0,128.0,7.0,7.0
110,82.0,66.0,7.0,7.0
111,49.0,72.0,6.0,7.0
112,72.0,46.0,7.0,7.0
113,66.0,68.0,7.0,7.0
114,54.0,52.0,7.0,6.0
115,43.0,56.0,5.0,7.0
116,54.0,39.0,6.0,5.0
117,57.0,64.0,5.0,7.0
118,80.0,64.0,7.0,7.0
119,54.0,80.0,6.0,7.0
0,81.0,76.0,7.0,7.0
