"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"scenarios"
"09/23/2021 22:58:44:593 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"83","30","0.45","0","50","450","5","1","2.5","buffers","0.18","100","19","2","0","0","0","0","6","13","0"
"85","30","0.45","0","50","450","5","1","2.5","buffers","0.18","100","41","3","0","16","0","0","10","15","0"
"82","30","0.45","0","50","450","5","1","2.5","buffers","0.18","100","47","5","3","12","0","0","14","4","14"
"92","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","28","3","0","16","0","0","4","8","0"
"84","30","0.45","0","50","450","5","1","2.5","buffers","0.18","100","21","3","0","11","6","0","0","4","0"
"91","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","25","4","0","8","0","7","3","7","0"
"89","30","0.45","0","50","450","5","1","2.5","corridors","0.18","100","43","4","0","21","8","0","1","13","0"
"86","30","0.45","0","50","450","5","1","2.5","corridors","0.18","100","56","6","0","9","11","8","9","13","6"
"87","30","0.45","0","50","450","5","1","2.5","corridors","0.18","100","16","3","0","8","4","0","0","4","0"
"94","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","33","2","0","0","0","14","0","19","0"
"93","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","6","2","0","4","0","0","0","2","0"
"90","30","0.45","0","50","450","5","1","2.5","corridors","0.18","100","56","5","0","14","8","0","13","13","8"
"88","30","0.45","0","50","450","5","1","2.5","corridors","0.18","100","33","5","0","4","7","0","7","5","10"
"97","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","16","2","0","0","0","0","0","8","8"
"98","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","5","1","5","0","0","0","0","0","0"
"95","30","0.45","0","50","500","5","1","2.5","buffers","0.18","100","32","5","0","9","3","0","9","8","3"
"104","30","0.45","0","50","550","5","1","2.5","buffers","0.18","100","7","1","0","0","0","0","0","7","0"
"96","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","38","5","10","8","10","0","8","2","0"
"103","30","0.45","0","50","550","5","1","2.5","buffers","0.18","100","31","4","0","11","8","0","8","4","0"
"99","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","50","4","0","22","3","0","0","9","16"
"106","30","0.45","0","50","550","5","1","2.5","corridors","0.18","100","41","6","0","14","7","2","5","8","5"
"100","30","0.45","0","50","500","5","1","2.5","corridors","0.18","100","45","6","14","4","10","0","7","6","4"
"101","30","0.45","0","50","550","5","1","2.5","buffers","0.18","100","46","5","12","7","0","0","6","13","8"
"105","30","0.45","0","50","550","5","1","2.5","buffers","0.18","100","34","4","0","0","10","0","9","2","13"
"102","30","0.45","0","50","550","5","1","2.5","buffers","0.18","100","41","5","5","6","17","0","4","9","0"
"108","30","0.45","0","50","550","5","1","2.5","corridors","0.18","100","53","4","0","12","7","0","18","16","0"
"107","30","0.45","0","50","550","5","1","2.5","corridors","0.18","100","18","4","3","5","3","0","0","7","0"
"109","30","0.45","0","50","550","5","1","2.5","corridors","0.18","100","61","6","0","4","12","8","11","16","10"
"111","30","0.45","0","50","600","5","1","2.5","buffers","0.18","100","28","4","0","1","11","0","12","4","0"
"110","30","0.45","0","50","550","5","1","2.5","corridors","0.18","100","21","4","0","11","5","0","2","3","0"
"114","30","0.45","0","50","600","5","1","2.5","buffers","0.18","100","20","2","0","0","0","12","0","0","8"
"112","30","0.45","0","50","600","5","1","2.5","buffers","0.18","100","40","4","14","10","0","0","0","2","14"
"115","30","0.45","0","50","600","5","1","2.5","buffers","0.18","100","35","4","0","1","0","17","8","9","0"
"116","30","0.45","0","50","600","5","1","2.5","corridors","0.18","100","40","5","13","7","6","0","0","7","7"
"117","30","0.45","0","50","600","5","1","2.5","corridors","0.18","100","63","4","0","14","15","0","22","12","0"
"113","30","0.45","0","50","600","5","1","2.5","buffers","0.18","100","52","7","9","6","4","9","9","11","4"
