"BehaviorSpace results (NetLogo 6.2.0)"
"crested_newt.nlogo"
"energy"
"09/23/2021 22:32:47:420 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","399","0","399"
"[run number]","capacity","mean-juvenile-mortality-prob","mortality-decrease-with-buffer","number-of-startind","movement-energy","cropland-movement-cost","woodland-movement-cost","mean-number-of-female-offspring","scenario","mean-adult-mortality-prob","[step]","total-newts","occupied-ponds","pond0","pond1","pond2","pond3","pond4","pond5","pond6"
"142","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","37","5","0","6","1","0","9","16","5"
"143","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","81","7","15","13","15","8","7","10","13"
"139","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","86","7","15","14","3","18","16","5","15"
"140","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","79","7","11","20","9","4","4","12","19"
"138","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","67","7","2","15","11","3","6","13","17"
"146","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","35","4","4","19","8","0","0","4","0"
"136","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","80","7","14","18","7","2","5","19","15"
"135","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","81","7","9","14","9","16","5","20","8"
"147","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","34","4","0","0","7","0","2","20","5"
"137","30","0.45","0.1","50","1000","5","1","2.5","buffers","0.18","100","97","7","20","17","8","13","13","18","8"
"145","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","81","7","13","18","13","6","8","18","5"
"149","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","68","7","8","14","11","7","10","10","8"
"148","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","62","7","8","7","11","7","9","6","14"
"153","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","32","4","0","6","10","0","0","10","6"
"152","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","39","5","0","9","9","0","9","8","4"
"151","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","82","7","8","19","18","10","10","13","4"
"150","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","61","6","9","12","6","0","10","11","13"
"154","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","63","7","2","20","13","5","7","10","6"
"156","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","72","7","9","11","7","3","22","8","12"
"159","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","58","6","0","13","5","3","8","13","16"
"157","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","68","7","6","12","3","7","14","19","7"
"155","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","68","6","11","16","10","0","8","13","10"
"158","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","48","7","7","7","6","1","8","14","5"
"160","30","0.45","0.1","50","1000","5","1","2.5","corridors","0.18","100","47","7","6","10","6","2","2","14","7"
