,mortality_decrease,movement_energy,corridor_netws,corridor_year,buffer_netws,buffer_year
36,0.0566666666666666,733.3333333333333,43.0,2.0,60.0,2.0
37,0.0566666666666666,822.2222222222222,59.0,2.0,62.0,2.0
38,0.0566666666666666,911.1111111111112,59.0,2.0,57.0,2.0
39,0.0566666666666666,1000.0,53.0,3.0,58.0,2.0
40,0.0722222222222222,200.0,59.0,3.0,50.0,-999.0
41,0.0722222222222222,288.8888888888889,46.0,19.0,27.0,-999.0
42,0.0722222222222222,377.77777777777777,69.0,4.0,52.0,7.0
43,0.0722222222222222,466.6666666666666,40.0,6.0,54.0,-999.0
44,0.0722222222222222,555.5555555555555,49.0,2.0,61.0,2.0
45,0.0722222222222222,644.4444444444445,55.0,2.0,37.0,15.0
46,0.0722222222222222,733.3333333333333,62.0,5.0,68.0,2.0
47,0.0722222222222222,822.2222222222222,60.0,2.0,48.0,3.0
48,0.0722222222222222,911.1111111111112,29.0,2.0,56.0,7.0
49,0.0722222222222222,1000.0,48.0,3.0,63.0,6.0
50,0.0877777777777777,200.0,54.0,2.0,60.0,-999.0
51,0.0877777777777777,288.8888888888889,38.0,-999.0,39.0,-999.0
52,0.0877777777777777,377.77777777777777,62.0,2.0,43.0,26.0
53,0.0877777777777777,466.6666666666666,59.0,2.0,37.0,-999.0
54,0.0877777777777777,555.5555555555555,37.0,3.0,48.0,3.0
55,0.0877777777777777,644.4444444444445,36.0,5.0,53.0,3.0
56,0.0877777777777777,733.3333333333333,67.0,1.0,53.0,3.0
57,0.0877777777777777,822.2222222222222,50.0,3.0,56.0,2.0
58,0.0877777777777777,911.1111111111112,66.0,2.0,69.0,2.0
59,0.0877777777777777,1000.0,48.0,3.0,60.0,2.0
60,0.1033333333333333,200.0,40.0,2.0,71.0,-999.0
61,0.1033333333333333,288.8888888888889,60.0,2.0,55.0,-999.0
62,0.1033333333333333,377.77777777777777,51.0,4.0,38.0,-999.0
63,0.1033333333333333,466.6666666666666,45.0,-999.0,58.0,20.0
64,0.1033333333333333,555.5555555555555,59.0,2.0,59.0,14.0
65,0.1033333333333333,644.4444444444445,45.0,8.0,47.0,-999.0
66,0.1033333333333333,733.3333333333333,41.0,7.0,64.0,-999.0
67,0.1033333333333333,822.2222222222222,42.0,1.0,62.0,6.0
68,0.1033333333333333,911.1111111111112,39.0,2.0,77.0,2.0
69,0.1033333333333333,1000.0,30.0,3.0,64.0,4.0
70,0.1188888888888888,200.0,61.0,2.0,39.0,-999.0
71,0.1188888888888888,288.8888888888889,67.0,2.0,56.0,-999.0
72,0.1188888888888888,377.77777777777777,56.0,2.0,58.0,6.0
73,0.1188888888888888,466.6666666666666,67.0,2.0,45.0,-999.0
74,0.1188888888888888,555.5555555555555,48.0,2.0,49.0,-999.0
75,0.1188888888888888,644.4444444444445,55.0,7.0,62.0,26.0
76,0.1188888888888888,733.3333333333333,40.0,3.0,53.0,19.0
77,0.1188888888888888,822.2222222222222,58.0,2.0,48.0,3.0
78,0.1188888888888888,911.1111111111112,66.0,14.0,68.0,13.0
79,0.1188888888888888,1000.0,56.0,1.0,54.0,3.0
80,0.1344444444444444,200.0,68.0,1.0,46.0,-999.0
81,0.1344444444444444,288.8888888888889,49.0,2.0,53.0,6.0
82,0.1344444444444444,377.77777777777777,60.0,3.0,39.0,3.0
83,0.1344444444444444,466.6666666666666,60.0,6.0,68.0,2.0
84,0.1344444444444444,555.5555555555555,53.0,5.0,74.0,2.0
85,0.1344444444444444,644.4444444444445,42.0,3.0,56.0,12.0
86,0.1344444444444444,733.3333333333333,55.0,2.0,65.0,4.0
87,0.1344444444444444,822.2222222222222,58.0,3.0,52.0,6.0
88,0.1344444444444444,911.1111111111112,43.0,3.0,62.0,4.0
89,0.1344444444444444,1000.0,76.0,-999.0,61.0,-999.0
90,0.15,200.0,63.0,2.0,58.0,-999.0
91,0.15,288.8888888888889,54.0,2.0,52.0,-999.0
92,0.15,377.77777777777777,44.0,4.0,56.0,-999.0
93,0.15,466.6666666666666,52.0,-999.0,67.0,-999.0
94,0.15,555.5555555555555,50.0,3.0,52.0,4.0
95,0.15,644.4444444444445,63.0,11.0,70.0,6.0
96,0.15,733.3333333333333,53.0,2.0,39.0,3.0
97,0.15,822.2222222222222,39.0,3.0,57.0,5.0
98,0.15,911.1111111111112,46.0,2.0,72.0,5.0
99,0.15,1000.0,40.0,3.0,64.0,5.0
100,0.01,200.0,43.0,4.0,42.0,-999.0
101,0.01,288.8888888888889,66.0,2.0,50.0,3.0
102,0.01,377.77777777777777,29.0,-999.0,48.0,-999.0
103,0.01,466.6666666666666,50.0,4.0,22.0,-999.0
104,0.01,555.5555555555555,53.0,2.0,31.0,-999.0
105,0.01,644.4444444444445,49.0,2.0,38.0,3.0
106,0.01,733.3333333333333,57.0,2.0,53.0,13.0
107,0.01,822.2222222222222,55.0,2.0,45.0,21.0
108,0.01,911.1111111111112,64.0,2.0,39.0,6.0
109,0.01,1000.0,56.0,9.0,61.0,13.0
110,0.0255555555555555,200.0,53.0,2.0,17.0,-999.0
111,0.0255555555555555,288.8888888888889,53.0,7.0,30.0,-999.0
112,0.0255555555555555,377.77777777777777,66.0,2.0,24.0,-999.0
113,0.0255555555555555,466.6666666666666,58.0,2.0,21.0,-999.0
114,0.0255555555555555,555.5555555555555,47.0,3.0,35.0,-999.0
115,0.0255555555555555,644.4444444444445,52.0,3.0,45.0,2.0
116,0.0255555555555555,733.3333333333333,55.0,2.0,57.0,2.0
117,0.0255555555555555,822.2222222222222,58.0,3.0,48.0,3.0
118,0.0255555555555555,911.1111111111112,61.0,1.0,60.0,2.0
119,0.0255555555555555,1000.0,49.0,5.0,53.0,8.0
120,0.0411111111111111,200.0,58.0,4.0,9.0,-999.0
121,0.0411111111111111,288.8888888888889,41.0,2.0,44.0,-999.0
122,0.0411111111111111,377.77777777777777,50.0,5.0,60.0,9.0
123,0.0411111111111111,466.6666666666666,60.0,2.0,42.0,13.0
124,0.0411111111111111,555.5555555555555,55.0,3.0,65.0,2.0
125,0.0411111111111111,644.4444444444445,71.0,4.0,51.0,5.0
126,0.0411111111111111,733.3333333333333,51.0,2.0,52.0,1.0
127,0.0411111111111111,822.2222222222222,64.0,2.0,49.0,9.0
128,0.0411111111111111,911.1111111111112,53.0,-999.0,51.0,-999.0
129,0.0411111111111111,1000.0,57.0,2.0,62.0,2.0
130,0.0566666666666666,200.0,53.0,2.0,28.0,-999.0
131,0.0566666666666666,288.8888888888889,67.0,2.0,62.0,3.0
132,0.0566666666666666,377.77777777777777,54.0,4.0,26.0,-999.0
133,0.0566666666666666,466.6666666666666,45.0,3.0,42.0,26.0
134,0.0566666666666666,555.5555555555555,53.0,49.0,19.0,-999.0
135,0.0566666666666666,644.4444444444445,58.0,4.0,33.0,35.0
